Frequency (Hz)	Level (dB)
15.625000	-57.855961
31.250000	-64.894325
46.875000	-61.295410
62.500000	-58.902943
78.125000	-57.077362
93.750000	-56.166664
109.375000	-55.427441
125.000000	-54.454067
140.625000	-53.509327
156.250000	-51.490017
171.875000	-48.538193
187.500000	-43.966976
203.125000	-38.931419
218.750000	-37.896343
234.375000	-41.459435
250.000000	-45.753418
265.625000	-48.401264
281.250000	-49.974052
296.875000	-50.847244
312.500000	-51.169056
328.125000	-50.996754
343.750000	-50.340015
359.375000	-49.180637
375.000000	-47.519447
390.625000	-45.403328
406.250000	-43.130325
421.875000	-41.213055
437.500000	-40.351421
453.125000	-41.119312
468.750000	-43.099792
484.375000	-45.272926
500.000000	-46.972282
515.625000	-48.014038
531.250000	-48.404408
546.875000	-48.355576
562.500000	-48.001766
578.125000	-47.176609
593.750000	-45.681358
609.375000	-43.263447
625.000000	-39.692711
640.625000	-36.443516
656.250000	-36.297249
671.875000	-39.139042
687.500000	-41.990292
703.125000	-43.490578
718.750000	-44.332245
734.375000	-45.028721
750.000000	-45.527161
765.625000	-45.628433
781.250000	-45.228054
796.875000	-44.265732
812.500000	-42.748238
828.125000	-41.031719
843.750000	-39.932125
859.375000	-39.655945
875.000000	-39.253136
890.625000	-39.236206
906.250000	-40.673306
921.875000	-42.594948
937.500000	-43.866642
953.125000	-44.368351
968.750000	-44.306332
984.375000	-43.943729
1000.000000	-43.554100
1015.625000	-43.196690
1031.250000	-42.706570
1046.875000	-41.984280
1062.500000	-41.133980
1078.125000	-40.148895
1093.750000	-38.529526
1109.375000	-35.753056
1125.000000	-32.438858
1140.625000	-30.898943
1156.250000	-32.239689
1171.875000	-34.906460
1187.500000	-37.001396
1203.125000	-38.239124
1218.750000	-38.800171
1234.375000	-38.802460
1250.000000	-38.287395
1265.625000	-37.224838
1281.250000	-35.497639
1296.875000	-32.877506
1312.500000	-29.294621
1328.125000	-26.404594
1343.750000	-26.569851
1359.375000	-29.430611
1375.000000	-32.468964
1390.625000	-34.494370
1406.250000	-35.698215
1421.875000	-36.307793
1437.500000	-36.461872
1453.125000	-36.206909
1468.750000	-35.517529
1484.375000	-34.339401
1500.000000	-32.608616
1515.625000	-30.325781
1531.250000	-27.947577
1546.875000	-26.695967
1562.500000	-27.376965
1578.125000	-29.361736
1593.750000	-31.395472
1609.375000	-32.906319
1625.000000	-33.880367
1640.625000	-34.398262
1656.250000	-34.525845
1671.875000	-34.302864
1687.500000	-33.755547
1703.125000	-32.913849
1718.750000	-31.838911
1734.375000	-30.687235
1750.000000	-29.752035
1765.625000	-29.363537
1781.250000	-29.653170
1796.875000	-30.442852
1812.500000	-31.409927
1828.125000	-32.308548
1843.750000	-33.023960
1859.375000	-33.522102
1875.000000	-33.805222
1890.625000	-33.888359
1906.250000	-33.788315
1921.875000	-33.515381
1937.500000	-33.080650
1953.125000	-32.481773
1968.750000	-31.694448
1984.375000	-30.786261
2000.000000	-29.990889
2015.625000	-29.541355
