Frequency (Hz)	Level (dB)
15.625000	-79.581963
31.250000	-77.001511
46.875000	-73.964622
62.500000	-65.131477
78.125000	-57.070232
93.750000	-55.590149
109.375000	-46.196793
125.000000	-44.746204
140.625000	-54.351147
156.250000	-65.780235
171.875000	-70.653366
187.500000	-72.068184
203.125000	-71.493423
218.750000	-69.806190
234.375000	-66.142670
250.000000	-62.650978
265.625000	-62.139854
281.250000	-64.926865
296.875000	-68.510056
312.500000	-70.069962
328.125000	-70.216034
343.750000	-69.262733
359.375000	-66.438980
375.000000	-61.558540
390.625000	-59.939213
406.250000	-62.723015
421.875000	-65.891464
437.500000	-67.665237
453.125000	-68.328720
468.750000	-67.981026
484.375000	-66.213448
500.000000	-63.984631
515.625000	-62.324207
531.250000	-61.929306
546.875000	-64.744301
562.500000	-67.616348
578.125000	-68.423103
593.750000	-68.345284
609.375000	-67.874237
625.000000	-67.086288
640.625000	-65.494614
656.250000	-61.660679
671.875000	-55.740536
687.500000	-54.201996
703.125000	-58.172531
718.750000	-62.269718
734.375000	-63.478310
750.000000	-62.571705
765.625000	-60.101566
781.250000	-54.363525
796.875000	-50.418739
812.500000	-52.503773
828.125000	-57.796974
843.750000	-60.708576
859.375000	-61.558155
875.000000	-60.795334
890.625000	-58.754509
906.250000	-54.183647
921.875000	-50.760418
937.500000	-51.920780
953.125000	-55.947334
968.750000	-59.036022
984.375000	-59.928673
1000.000000	-59.338715
1015.625000	-57.432892
1031.250000	-55.011227
1046.875000	-53.756008
1062.500000	-54.744560
1078.125000	-56.882057
1093.750000	-57.527527
1109.375000	-57.844997
1125.000000	-58.010391
1140.625000	-57.651196
1156.250000	-56.842537
1171.875000	-56.081543
1187.500000	-55.630470
1203.125000	-55.793251
1218.750000	-56.097710
1234.375000	-56.119434
1250.000000	-55.999954
1265.625000	-56.184135
1281.250000	-56.193535
1296.875000	-55.972401
1312.500000	-54.977036
1328.125000	-53.259869
1343.750000	-51.405369
1359.375000	-50.500519
1375.000000	-50.822319
1390.625000	-52.403942
1406.250000	-54.105064
1421.875000	-54.638763
1437.500000	-54.088768
1453.125000	-52.529114
1468.750000	-49.769974
1484.375000	-47.442299
1500.000000	-47.822247
1515.625000	-50.948933
1531.250000	-53.807568
1546.875000	-55.001316
1562.500000	-54.949364
1578.125000	-53.658787
1593.750000	-50.349747
1609.375000	-46.541019
1625.000000	-45.602615
1640.625000	-49.041504
1656.250000	-53.265507
1671.875000	-55.353596
1687.500000	-55.847847
1703.125000	-54.880760
1718.750000	-52.104004
1734.375000	-47.009361
1750.000000	-44.619614
1765.625000	-47.546772
1781.250000	-52.342915
1796.875000	-55.015091
1812.500000	-56.248520
1828.125000	-55.882877
1843.750000	-53.926132
1859.375000	-49.366493
1875.000000	-44.469440
1890.625000	-45.032215
1906.250000	-50.343826
1921.875000	-54.674747
1937.500000	-56.438194
1953.125000	-56.782089
