Frequency (Hz)	Level (dB)
15.625000	-71.559471
31.250000	-65.918945
46.875000	-63.338512
62.500000	-61.984394
78.125000	-61.577457
93.750000	-61.755424
109.375000	-61.504032
125.000000	-61.679226
140.625000	-62.058533
156.250000	-62.312355
171.875000	-62.551498
187.500000	-62.163101
203.125000	-61.853268
218.750000	-61.304962
234.375000	-60.082989
250.000000	-58.806107
265.625000	-57.448387
281.250000	-55.461147
296.875000	-52.726974
312.500000	-49.120525
328.125000	-46.386650
343.750000	-46.896275
359.375000	-50.063766
375.000000	-53.504562
390.625000	-56.005878
406.250000	-57.802406
421.875000	-59.183044
437.500000	-60.226574
453.125000	-60.918507
468.750000	-61.029217
484.375000	-61.266479
500.000000	-61.427380
515.625000	-61.296329
531.250000	-61.262066
546.875000	-61.114693
562.500000	-60.221786
578.125000	-59.356812
593.750000	-58.292000
609.375000	-56.828350
625.000000	-54.855267
640.625000	-52.085094
656.250000	-49.441017
671.875000	-48.409145
687.500000	-49.242081
703.125000	-51.003086
718.750000	-52.966782
734.375000	-54.767254
750.000000	-56.072742
765.625000	-57.487751
781.250000	-58.737000
796.875000	-59.699448
812.500000	-59.869598
828.125000	-60.057297
843.750000	-60.135769
859.375000	-59.785118
875.000000	-59.240250
890.625000	-58.447891
906.250000	-57.388557
921.875000	-56.436111
937.500000	-55.647663
953.125000	-54.828976
968.750000	-53.228142
984.375000	-51.284653
1000.000000	-49.410995
1015.625000	-48.624092
1031.250000	-49.853962
1046.875000	-51.910515
1062.500000	-53.927963
1078.125000	-55.623821
1093.750000	-56.598774
1109.375000	-57.637737
1125.000000	-58.186897
1140.625000	-58.591110
1156.250000	-58.724609
1171.875000	-58.643734
1187.500000	-58.499302
1203.125000	-57.913254
1218.750000	-57.569691
1234.375000	-57.243572
1250.000000	-56.763229
1265.625000	-56.091003
1281.250000	-55.731094
1296.875000	-55.199532
1312.500000	-54.744946
1328.125000	-53.629784
1343.750000	-52.261963
1359.375000	-50.946278
1375.000000	-50.706219
1390.625000	-51.521160
1406.250000	-52.543045
1421.875000	-53.146416
1437.500000	-53.424782
1453.125000	-53.707699
1468.750000	-54.132393
1484.375000	-54.218819
1500.000000	-54.002209
1515.625000	-53.783867
1531.250000	-53.882240
1546.875000	-54.119606
1562.500000	-54.126724
1578.125000	-54.215141
1593.750000	-54.375519
1609.375000	-53.912033
1625.000000	-53.214718
1640.625000	-51.973724
1656.250000	-50.625004
1671.875000	-49.235565
1687.500000	-46.894718
1703.125000	-44.128448
1718.750000	-41.276447
1734.375000	-40.056679
1750.000000	-41.285217
1765.625000	-43.543289
1781.250000	-45.547295
1796.875000	-47.669807
1812.500000	-49.142540
1828.125000	-50.161179
1843.750000	-50.732861
1859.375000	-51.284763
1875.000000	-51.187031
1890.625000	-50.985878
1906.250000	-50.863213
1921.875000	-50.564548
1937.500000	-50.194790
1953.125000	-49.637482
1968.750000	-48.732983
1984.375000	-47.218132
2000.000000	-45.589073
2015.625000	-43.685905
2031.250000	-41.434643
2046.875000	-39.988380
2062.500000	-40.133121
2078.125000	-41.443741
2093.750000	-43.238838
2109.375000	-45.118183
2125.000000	-46.659805
2140.625000	-47.452328
2156.250000	-48.281342
2171.875000	-48.989063
2187.500000	-49.494747
2203.125000	-49.635441
2218.750000	-49.724178
2234.375000	-49.804798
2250.000000	-49.526711
2265.625000	-49.383587
2281.250000	-48.930798
2296.875000	-48.111671
2312.500000	-47.068428
2328.125000	-46.210011
2343.750000	-45.518749
2359.375000	-44.469357
2375.000000	-43.600128
2390.625000	-43.523941
2406.250000	-43.998623
2421.875000	-44.704239
2437.500000	-45.667728
2453.125000	-46.801472
2468.750000	-47.676517
2484.375000	-48.319160
2500.000000	-48.946091
2515.625000	-49.623692
2531.250000	-50.213474
2546.875000	-50.578686
2562.500000	-50.706001
2578.125000	-50.887260
2593.750000	-50.779060
2609.375000	-50.910892
2625.000000	-50.708759
2640.625000	-49.991261
2656.250000	-49.544361
2671.875000	-48.939552
2687.500000	-48.352966
2703.125000	-47.842358
2718.750000	-47.181671
2734.375000	-46.485371
2750.000000	-46.343170
2765.625000	-46.555340
2781.250000	-46.749428
2796.875000	-47.247421
2812.500000	-48.115211
2828.125000	-48.809914
2843.750000	-49.376694
2859.375000	-50.202694
2875.000000	-50.772717
2890.625000	-50.977081
2906.250000	-51.369186
2921.875000	-51.918221
2937.500000	-52.190430
2953.125000	-51.974358
2968.750000	-51.995567
2984.375000	-51.853348
3000.000000	-51.503345
3015.625000	-51.098572
3031.250000	-50.525066
3046.875000	-50.044758
3062.500000	-49.345768
3078.125000	-48.632015
3093.750000	-47.744896
3109.375000	-47.008541
3125.000000	-46.252148
3140.625000	-46.156261
3156.250000	-46.726566
3171.875000	-47.553837
3187.500000	-48.429764
3203.125000	-49.126396
3218.750000	-50.245625
3234.375000	-51.151875
3250.000000	-51.790482
3265.625000	-52.077408
3281.250000	-52.284458
3296.875000	-52.384567
3312.500000	-52.469444
3328.125000	-52.398849
3343.750000	-51.954052
3359.375000	-51.471497
3375.000000	-51.005287
3390.625000	-50.120495
3406.250000	-49.346004
3421.875000	-47.921913
3437.500000	-46.302040
3453.125000	-45.049202
3468.750000	-44.073624
3484.375000	-43.987747
3500.000000	-44.941067
3515.625000	-46.213261
3531.250000	-47.610298
3546.875000	-48.737793
3562.500000	-49.901794
3578.125000	-50.990513
3593.750000	-51.879101
3609.375000	-52.172821
3625.000000	-52.480412
3640.625000	-52.756294
3656.250000	-52.535816
3671.875000	-52.141491
3687.500000	-51.771137
3703.125000	-51.254570
3718.750000	-50.658546
3734.375000	-49.525623
3750.000000	-48.312534
3765.625000	-46.805210
3781.250000	-44.842842
3796.875000	-43.259869
