Frequency (Hz)	Level (dB)
15.625000	-74.375008
31.250000	-69.926056
46.875000	-66.598808
62.500000	-62.169559
78.125000	-56.060879
93.750000	-53.925476
109.375000	-45.282951
125.000000	-43.020382
140.625000	-48.022781
156.250000	-54.374069
171.875000	-57.089100
187.500000	-57.899998
203.125000	-57.624470
218.750000	-56.029495
234.375000	-52.811279
250.000000	-49.067562
265.625000	-48.227249
281.250000	-50.869179
296.875000	-54.067417
312.500000	-55.892010
328.125000	-56.226410
343.750000	-55.465855
359.375000	-52.840221
375.000000	-47.669361
390.625000	-45.894749
406.250000	-48.559479
421.875000	-51.496826
437.500000	-53.244270
453.125000	-54.037136
468.750000	-54.151447
484.375000	-52.380260
500.000000	-49.925724
515.625000	-48.223118
531.250000	-47.658356
546.875000	-49.743393
562.500000	-52.852196
578.125000	-54.223961
593.750000	-54.203186
609.375000	-53.639980
625.000000	-52.920357
640.625000	-51.704609
656.250000	-48.178288
671.875000	-42.253841
687.500000	-40.300537
703.125000	-43.820995
718.750000	-48.031200
734.375000	-49.180069
750.000000	-48.705582
765.625000	-46.325424
781.250000	-40.910362
796.875000	-36.607422
812.500000	-37.962723
828.125000	-43.280560
843.750000	-46.557388
859.375000	-47.562870
875.000000	-47.024601
890.625000	-45.036030
906.250000	-40.603729
921.875000	-36.636967
937.500000	-37.440777
953.125000	-41.467049
968.750000	-44.572304
984.375000	-45.522060
1000.000000	-45.329746
1015.625000	-43.759972
1031.250000	-41.250435
1046.875000	-39.786232
1062.500000	-40.218559
1078.125000	-42.472351
1093.750000	-43.779606
1109.375000	-43.693005
1125.000000	-44.028702
1140.625000	-43.723980
1156.250000	-43.036926
1171.875000	-41.862476
1187.500000	-41.266945
1203.125000	-41.213219
1218.750000	-41.722481
1234.375000	-42.021820
1250.000000	-41.931000
1265.625000	-42.062748
1281.250000	-42.114288
1296.875000	-41.972286
1312.500000	-41.203514
1328.125000	-39.792736
1343.750000	-37.945915
1359.375000	-36.512924
1375.000000	-36.826458
1390.625000	-38.542179
1406.250000	-40.159107
1421.875000	-40.709023
1437.500000	-40.241154
1453.125000	-38.943928
1468.750000	-36.246536
1484.375000	-33.576485
1500.000000	-33.465660
1515.625000	-36.378242
1531.250000	-39.168411
1546.875000	-41.075176
1562.500000	-41.287262
1578.125000	-39.883781
1593.750000	-37.134037
1609.375000	-32.905575
1625.000000	-31.520338
1640.625000	-34.400845
1656.250000	-38.501381
1671.875000	-41.206940
1687.500000	-41.812378
1703.125000	-41.037182
1718.750000	-38.830620
1734.375000	-34.103668
1750.000000	-30.537113
1765.625000	-32.291046
1781.250000	-37.521854
1796.875000	-40.866783
1812.500000	-42.040703
1828.125000	-42.092037
1843.750000	-40.562885
1859.375000	-36.545753
1875.000000	-31.291553
1890.625000	-30.657187
1906.250000	-35.393158
1921.875000	-40.181896
1937.500000	-42.173138
1953.125000	-42.543961
1968.750000	-41.842026
1984.375000	-38.973419
2000.000000	-32.945145
2015.625000	-29.846453
2031.250000	-33.047337
2046.875000	-38.850540
2062.500000	-41.897839
2078.125000	-42.781326
2093.750000	-42.518963
2109.375000	-40.587742
2125.000000	-36.058575
2140.625000	-30.688608
2156.250000	-30.597958
2171.875000	-36.012558
2187.500000	-40.563316
2203.125000	-42.496349
2218.750000	-42.805935
2234.375000	-41.904114
2250.000000	-38.852158
2265.625000	-32.822670
2281.250000	-29.631485
2296.875000	-32.510033
2312.500000	-38.355309
2328.125000	-41.645172
2343.750000	-42.561405
2359.375000	-42.064960
2375.000000	-40.216705
2390.625000	-35.195061
2406.250000	-29.852671
2421.875000	-29.958567
2437.500000	-35.292095
2453.125000	-39.975643
2468.750000	-41.704922
2484.375000	-41.840710
2500.000000	-40.448357
2515.625000	-37.133194
2531.250000	-30.919708
2546.875000	-27.955276
2562.500000	-31.407856
2578.125000	-37.350571
2593.750000	-40.085693
2609.375000	-40.995480
2625.000000	-40.459660
2640.625000	-38.176537
2656.250000	-33.396545
2671.875000	-28.245670
2687.500000	-28.433933
2703.125000	-33.674866
2718.750000	-38.065563
2734.375000	-39.735424
2750.000000	-40.020462
2765.625000	-38.227039
2781.250000	-34.775585
2796.875000	-29.400858
2812.500000	-27.411449
2828.125000	-30.784243
2843.750000	-35.522007
2859.375000	-37.897465
2875.000000	-38.484772
2890.625000	-37.833469
2906.250000	-35.523228
2921.875000	-30.919613
2937.500000	-26.880772
2953.125000	-27.846020
2968.750000	-32.673164
2984.375000	-35.818714
3000.000000	-37.164413
3015.625000	-37.000969
3031.250000	-35.552010
3046.875000	-32.640190
3062.500000	-29.128815
3078.125000	-28.134096
3093.750000	-30.049170
3109.375000	-32.939537
3125.000000	-35.054482
3140.625000	-35.798183
3156.250000	-35.409840
3171.875000	-33.681736
3187.500000	-31.409033
3203.125000	-29.343943
3218.750000	-29.053579
3234.375000	-30.733013
3250.000000	-32.716965
3265.625000	-34.421642
3281.250000	-35.039722
3296.875000	-34.374828
3312.500000	-33.307121
3328.125000	-31.115747
3343.750000	-28.632769
3359.375000	-28.451464
3375.000000	-30.554489
3390.625000	-33.341488
3406.250000	-35.109703
3421.875000	-36.036644
3437.500000	-35.518021
3453.125000	-33.709141
3468.750000	-30.687506
3484.375000	-28.100378
3500.000000	-28.754475
3515.625000	-32.420326
3531.250000	-35.590809
3546.875000	-37.002548
3562.500000	-37.288548
3578.125000	-36.558372
3593.750000	-34.159893
3609.375000	-30.339064
3625.000000	-28.808479
3640.625000	-31.405090
3656.250000	-35.883770
3671.875000	-38.747826
3687.500000	-39.678207
3703.125000	-39.136806
3718.750000	-37.276676
3734.375000	-33.859474
3750.000000	-30.601379
3765.625000	-30.989067
3781.250000	-34.985550
3796.875000	-38.359406
3812.500000	-40.533440
3828.125000	-40.872925
3843.750000	-39.931438
3859.375000	-37.233768
3875.000000	-32.216904
3890.625000	-29.737286
3906.250000	-32.800964
3921.875000	-38.161659
3937.500000	-40.821522
3953.125000	-41.926250
3968.750000	-41.811016
3984.375000	-40.160889
4000.000000	-36.169403
4015.625000	-31.528440
4031.250000	-31.703690
4046.875000	-36.488575
4062.500000	-40.660042
4078.125000	-42.553566
4093.750000	-42.799721
4109.375000	-41.922661
4125.000000	-39.179913
4140.625000	-34.055267
4156.250000	-31.307634
4171.875000	-34.055824
