Frequency (Hz)	Level (dB)
15.625000	-71.864258
31.250000	-66.898804
46.875000	-64.303322
62.500000	-62.696606
78.125000	-60.931564
93.750000	-60.626907
109.375000	-59.606800
125.000000	-59.022835
140.625000	-61.196785
156.250000	-59.954937
171.875000	-57.485943
187.500000	-53.637913
203.125000	-48.815392
218.750000	-47.440765
234.375000	-50.821133
250.000000	-55.572769
265.625000	-58.718536
281.250000	-60.675880
296.875000	-61.877773
312.500000	-62.588303
328.125000	-62.582966
343.750000	-62.343323
359.375000	-61.508034
375.000000	-59.983486
390.625000	-58.285549
406.250000	-56.281082
421.875000	-54.358467
437.500000	-53.132824
453.125000	-53.700802
468.750000	-55.580212
484.375000	-58.213497
500.000000	-60.231319
515.625000	-61.477509
531.250000	-62.111153
546.875000	-62.295395
562.500000	-62.129974
578.125000	-61.596352
593.750000	-60.464066
609.375000	-58.392025
625.000000	-55.038006
640.625000	-51.451145
656.250000	-50.541153
671.875000	-53.171486
687.500000	-56.344383
703.125000	-58.237896
718.750000	-59.483471
734.375000	-59.976681
750.000000	-60.675323
765.625000	-61.060547
781.250000	-61.055233
796.875000	-60.349041
812.500000	-59.016048
828.125000	-57.335747
843.750000	-55.949696
859.375000	-55.386337
875.000000	-55.354420
890.625000	-55.323921
906.250000	-56.313950
921.875000	-58.284866
937.500000	-59.870201
953.125000	-60.576202
968.750000	-60.896057
984.375000	-60.630798
1000.000000	-60.495972
1015.625000	-60.021736
1031.250000	-59.739079
1046.875000	-59.093117
1062.500000	-58.249001
1078.125000	-57.376122
1093.750000	-55.973866
1109.375000	-53.809681
1125.000000	-50.978382
1140.625000	-48.489132
1156.250000	-48.393150
1171.875000	-50.577145
1187.500000	-53.261311
1203.125000	-55.062775
1218.750000	-55.840477
1234.375000	-56.257862
1250.000000	-56.107544
1265.625000	-55.278511
1281.250000	-53.925442
1296.875000	-51.698490
1312.500000	-48.645519
1328.125000	-45.438877
1343.750000	-43.825401
1359.375000	-45.436722
1375.000000	-48.761818
1390.625000	-51.408752
1406.250000	-53.147434
1421.875000	-54.197861
1437.500000	-54.585567
1453.125000	-54.540329
1468.750000	-54.077282
1484.375000	-53.220661
1500.000000	-51.839684
1515.625000	-50.080723
1531.250000	-47.840206
1546.875000	-45.862549
1562.500000	-45.184013
1578.125000	-46.441368
1593.750000	-48.609329
1609.375000	-50.710464
1625.000000	-52.002052
1640.625000	-52.862118
1656.250000	-53.208996
1671.875000	-53.107002
1687.500000	-52.745575
1703.125000	-52.105957
1718.750000	-51.250854
1734.375000	-50.203724
1750.000000	-48.999809
1765.625000	-48.354389
1781.250000	-48.294205
1796.875000	-48.823631
1812.500000	-49.731045
1828.125000	-50.533218
1843.750000	-51.460812
1859.375000	-52.420040
1875.000000	-53.001915
1890.625000	-53.054829
1906.250000	-53.154255
1921.875000	-53.230732
1937.500000	-52.789715
1953.125000	-52.206524
1968.750000	-51.752445
1984.375000	-51.037884
2000.000000	-50.033081
2015.625000	-49.144650
2031.250000	-48.974903
2046.875000	-48.996506
2062.500000	-49.585632
2078.125000	-50.443153
2093.750000	-51.204132
2109.375000	-51.981804
2125.000000	-52.475124
2140.625000	-52.928783
2156.250000	-53.043598
2171.875000	-53.080235
2187.500000	-52.567101
2203.125000	-51.969555
2218.750000	-50.994690
2234.375000	-49.374615
2250.000000	-47.906349
2265.625000	-46.905415
2281.250000	-46.875034
2296.875000	-47.896416
2312.500000	-49.388336
2328.125000	-50.973171
2343.750000	-52.247093
2359.375000	-53.052402
2375.000000	-53.279564
2390.625000	-53.258816
2406.250000	-52.956966
2421.875000	-52.356796
2437.500000	-51.114147
2453.125000	-49.410698
2468.750000	-47.181000
2484.375000	-45.446644
2500.000000	-45.024899
2515.625000	-46.606064
2531.250000	-48.890881
2546.875000	-50.966572
2562.500000	-52.260063
2578.125000	-52.892258
2593.750000	-53.620773
2609.375000	-53.993637
2625.000000	-53.737293
2640.625000	-52.797791
2656.250000	-51.563717
2671.875000	-49.322197
2687.500000	-46.908607
2703.125000	-44.338791
2718.750000	-43.800095
2734.375000	-45.629585
2750.000000	-48.485294
2765.625000	-50.853886
2781.250000	-52.282314
2796.875000	-53.557384
2812.500000	-54.093174
2828.125000	-54.303135
2843.750000	-53.858242
2859.375000	-52.883110
2875.000000	-51.577480
2890.625000	-49.572720
2906.250000	-46.644299
2921.875000	-43.567688
2937.500000	-42.564404
2953.125000	-44.535736
2968.750000	-47.585960
2984.375000	-50.164791
3000.000000	-51.531689
3015.625000	-52.773411
3031.250000	-53.638199
3046.875000	-53.667629
3062.500000	-53.564568
3078.125000	-52.876682
3093.750000	-51.619831
3109.375000	-49.571011
3125.000000	-46.749454
3140.625000	-43.892780
3156.250000	-42.073483
3171.875000	-43.179562
3187.500000	-46.072811
3203.125000	-48.715549
3218.750000	-51.037304
3234.375000	-52.321354
3250.000000	-52.799530
3265.625000	-52.947319
3281.250000	-52.668221
3296.875000	-51.927811
3312.500000	-50.781250
3328.125000	-49.273674
3343.750000	-46.825676
3359.375000	-43.618492
3375.000000	-41.478214
3390.625000	-41.941196
3406.250000	-44.643593
3421.875000	-47.594128
3437.500000	-49.599205
3453.125000	-50.938812
3468.750000	-51.571114
3484.375000	-51.908485
3500.000000	-51.727692
3515.625000	-51.137501
3531.250000	-50.453972
3546.875000	-49.040546
3562.500000	-46.716461
3578.125000	-43.895931
3593.750000	-41.591438
3609.375000	-41.520164
3625.000000	-43.575111
3640.625000	-46.239311
3656.250000	-48.483887
3671.875000	-50.153755
3687.500000	-51.130482
3703.125000	-51.527817
3718.750000	-51.558754
3734.375000	-51.228031
3750.000000	-50.785645
3765.625000	-49.621105
3781.250000	-47.933182
3796.875000	-45.607601
3812.500000	-43.082790
3828.125000	-41.988731
3843.750000	-43.172001
3859.375000	-45.908802
3875.000000	-48.500732
3890.625000	-50.477264
3906.250000	-51.931622
3921.875000	-53.011951
3937.500000	-53.755913
3953.125000	-53.429829
3968.750000	-53.122978
3984.375000	-52.776535
4000.000000	-51.203278
4015.625000	-48.868320
4031.250000	-45.986568
4046.875000	-43.998032
4062.500000	-44.374104
4078.125000	-47.048355
4093.750000	-50.400536
4109.375000	-53.103706
4125.000000	-54.520447
4140.625000	-55.531708
4156.250000	-56.279316
4171.875000	-56.518536
4187.500000	-56.154953
4203.125000	-55.496147
4218.750000	-54.178574
4234.375000	-52.489395
4250.000000	-49.827118
4265.625000	-47.291889
4281.250000	-47.061081
4296.875000	-49.544144
4312.500000	-52.879326
4328.125000	-55.376816
4343.750000	-57.273808
4359.375000	-58.478374
4375.000000	-59.243080
4390.625000	-59.344147
4406.250000	-59.040157
4421.875000	-58.740234
4437.500000	-58.115654
4453.125000	-56.283546
4468.750000	-53.756775
4484.375000	-50.875393
4500.000000	-49.822990
4515.625000	-51.682201
4531.250000	-54.793056
4546.875000	-57.449368
4562.500000	-59.384613
4578.125000	-60.753780
4593.750000	-61.703037
4609.375000	-62.054031
4625.000000	-61.948715
4640.625000	-61.471645
