Frequency (Hz)	Level (dB)
15.625000	-51.690815
31.250000	-63.708733
46.875000	-61.871220
62.500000	-58.320488
78.125000	-54.307861
93.750000	-51.280609
109.375000	-43.366470
125.000000	-39.305637
140.625000	-41.497482
156.250000	-47.234550
171.875000	-50.393230
187.500000	-51.287075
203.125000	-50.719379
218.750000	-48.763538
234.375000	-45.156204
250.000000	-41.181541
265.625000	-40.470112
281.250000	-43.630657
296.875000	-47.237507
312.500000	-48.598476
328.125000	-48.796219
343.750000	-47.805252
359.375000	-44.564095
375.000000	-39.896103
390.625000	-38.658981
406.250000	-41.429367
421.875000	-44.095688
437.500000	-45.888653
453.125000	-46.829216
468.750000	-46.310280
484.375000	-44.441845
500.000000	-42.235123
515.625000	-40.014931
531.250000	-39.788200
546.875000	-42.928928
562.500000	-45.952660
578.125000	-46.818550
593.750000	-46.543510
609.375000	-46.077354
625.000000	-45.423069
640.625000	-43.711117
656.250000	-39.161003
671.875000	-33.443375
687.500000	-32.642490
703.125000	-36.937248
718.750000	-40.691742
734.375000	-41.744621
750.000000	-40.968082
765.625000	-38.097733
781.250000	-32.166027
796.875000	-28.462730
812.500000	-30.860128
828.125000	-36.353939
843.750000	-39.205418
859.375000	-39.926071
875.000000	-39.113750
890.625000	-36.511009
906.250000	-31.819050
921.875000	-28.746298
937.500000	-30.466873
953.125000	-34.785809
968.750000	-37.388805
984.375000	-38.115753
1000.000000	-37.454258
1015.625000	-35.582073
1031.250000	-33.169693
1046.875000	-32.108040
1062.500000	-33.345882
1078.125000	-34.946865
1093.750000	-35.487194
1109.375000	-36.128246
1125.000000	-36.300014
1140.625000	-35.792206
1156.250000	-34.996159
1171.875000	-34.295479
1187.500000	-33.949493
1203.125000	-33.950386
1218.750000	-34.055832
1234.375000	-34.125530
1250.000000	-34.180878
1265.625000	-34.252865
1281.250000	-34.239449
1296.875000	-33.877991
1312.500000	-32.938862
1328.125000	-31.314667
1343.750000	-29.410076
1359.375000	-28.469311
1375.000000	-29.284349
1390.625000	-31.059950
1406.250000	-32.467175
1421.875000	-32.950893
1437.500000	-32.344517
1453.125000	-30.470798
1468.750000	-27.486530
1484.375000	-25.522022
1500.000000	-26.561220
1515.625000	-29.606897
1531.250000	-32.123920
1546.875000	-33.243622
1562.500000	-33.060822
1578.125000	-31.420092
1593.750000	-27.994810
1609.375000	-24.970032
1625.000000	-25.333725
1640.625000	-28.596127
1656.250000	-31.905596
1671.875000	-33.669857
1687.500000	-33.937511
1703.125000	-32.785431
1718.750000	-29.642859
1734.375000	-25.564285
1750.000000	-24.565163
1765.625000	-27.600952
1781.250000	-31.376905
1796.875000	-33.838917
1812.500000	-34.617229
1828.125000	-33.996605
1843.750000	-31.635048
1859.375000	-27.186354
1875.000000	-24.377285
1890.625000	-26.190878
1906.250000	-30.307106
1921.875000	-33.468662
1937.500000	-34.879475
1953.125000	-34.793507
1968.750000	-33.165432
1984.375000	-29.214405
2000.000000	-24.947424
2015.625000	-24.898382
2031.250000	-28.960781
2046.875000	-32.611561
2062.500000	-34.750801
2078.125000	-35.220627
2093.750000	-34.271568
2109.375000	-31.406578
2125.000000	-26.617119
2140.625000	-24.308542
2156.250000	-26.886938
2171.875000	-31.001791
2187.500000	-33.920021
2203.125000	-35.063492
2218.750000	-34.771008
2234.375000	-32.906540
2250.000000	-28.713657
2265.625000	-24.632635
2281.250000	-24.988438
2296.875000	-29.119081
2312.500000	-32.465416
2328.125000	-34.423309
2343.750000	-34.735123
2359.375000	-33.607433
2375.000000	-30.499887
2390.625000	-25.880650
2406.250000	-24.056053
2421.875000	-26.810802
2437.500000	-30.486143
2453.125000	-33.179863
2468.750000	-34.150223
2484.375000	-33.664879
2500.000000	-31.522999
2515.625000	-27.264292
2531.250000	-23.920343
2546.875000	-25.037159
2562.500000	-28.808687
2578.125000	-31.453833
2593.750000	-33.149166
2609.375000	-33.248859
2625.000000	-31.901785
2640.625000	-28.604172
2656.250000	-24.724976
2671.875000	-23.837637
2687.500000	-26.509949
2703.125000	-29.166462
2718.750000	-31.486311
2734.375000	-32.206818
2750.000000	-31.476292
2765.625000	-29.047464
2781.250000	-25.485886
2796.875000	-23.592035
2812.500000	-24.918968
2828.125000	-27.246971
2843.750000	-29.534388
2859.375000	-30.835854
2875.000000	-30.651546
2890.625000	-29.006861
2906.250000	-26.077070
2921.875000	-23.846254
2937.500000	-23.929428
2953.125000	-25.440498
2968.750000	-27.204718
2984.375000	-28.962315
3000.000000	-29.376606
3015.625000	-28.513048
3031.250000	-26.438192
3046.875000	-24.381836
3062.500000	-23.672361
3078.125000	-24.336264
3093.750000	-25.403675
3109.375000	-26.919588
3125.000000	-27.928833
3140.625000	-27.825390
3156.250000	-26.708668
3171.875000	-25.131670
3187.500000	-24.084791
3203.125000	-23.894234
3218.750000	-24.336739
3234.375000	-25.108677
3250.000000	-26.223490
3265.625000	-27.033911
3281.250000	-27.020153
3296.875000	-26.147146
3312.500000	-24.869154
3328.125000	-23.947914
3343.750000	-23.772650
3359.375000	-24.332769
3375.000000	-25.335518
3390.625000	-26.848822
3406.250000	-27.948992
3421.875000	-27.979254
3437.500000	-26.819115
3453.125000	-24.972242
3468.750000	-23.719841
3484.375000	-24.126467
3500.000000	-25.162292
3515.625000	-26.960384
3531.250000	-29.124641
3546.875000	-29.910650
3562.500000	-29.383579
3578.125000	-27.408394
3593.750000	-24.868565
3609.375000	-23.826788
3625.000000	-25.039116
3640.625000	-27.415190
3656.250000	-30.035652
3671.875000	-31.470951
3687.500000	-31.555544
3703.125000	-30.263323
3718.750000	-27.348619
3734.375000	-24.574547
3750.000000	-24.482347
3765.625000	-26.993938
3781.250000	-30.145777
3796.875000	-32.372730
3812.500000	-33.115742
3828.125000	-32.538471
3843.750000	-30.293667
3859.375000	-26.403770
3875.000000	-24.192804
3890.625000	-25.949364
3906.250000	-29.611334
3921.875000	-32.693714
3937.500000	-34.144421
3953.125000	-34.152348
3968.750000	-32.744576
3984.375000	-29.278406
4000.000000	-25.289251
