Frequency (Hz)	Level (dB)
15.625000	-65.792557
31.250000	-60.537903
46.875000	-58.522278
62.500000	-57.603886
78.125000	-57.002495
93.750000	-57.110966
109.375000	-57.188644
125.000000	-57.299278
140.625000	-57.433617
156.250000	-56.839348
171.875000	-56.108372
187.500000	-54.427368
203.125000	-52.087322
218.750000	-48.551804
234.375000	-44.461132
250.000000	-43.480690
265.625000	-46.414333
281.250000	-50.519283
296.875000	-53.530304
312.500000	-55.638020
328.125000	-56.746132
343.750000	-57.655933
359.375000	-58.099030
375.000000	-58.101704
390.625000	-57.841240
406.250000	-57.331070
421.875000	-56.767056
437.500000	-55.956554
453.125000	-54.577976
468.750000	-52.488155
484.375000	-50.135529
500.000000	-48.025234
515.625000	-47.631958
531.250000	-49.548370
546.875000	-52.403305
562.500000	-54.239159
578.125000	-55.437305
593.750000	-56.343212
609.375000	-56.955189
625.000000	-57.400242
640.625000	-57.493427
656.250000	-57.200958
671.875000	-56.599560
687.500000	-55.090500
703.125000	-53.377312
718.750000	-51.350693
734.375000	-49.604679
750.000000	-48.807350
765.625000	-49.099335
781.250000	-49.999466
796.875000	-51.192818
812.500000	-52.439465
828.125000	-53.776318
843.750000	-55.139801
859.375000	-55.922497
875.000000	-56.283474
890.625000	-56.114395
906.250000	-55.786289
921.875000	-55.233654
937.500000	-54.613720
953.125000	-54.114521
968.750000	-53.211201
984.375000	-52.336666
1000.000000	-51.854073
1015.625000	-51.765888
1031.250000	-52.241478
1046.875000	-52.535206
1062.500000	-52.978817
1078.125000	-53.254463
1093.750000	-53.591137
1109.375000	-54.035210
1125.000000	-54.037876
1140.625000	-54.208656
1156.250000	-54.348728
1171.875000	-54.174370
1187.500000	-53.966316
1203.125000	-53.522846
1218.750000	-53.172558
1234.375000	-52.454750
1250.000000	-50.889652
1265.625000	-48.899433
1281.250000	-46.028263
1296.875000	-43.463600
1312.500000	-42.101162
1328.125000	-42.916443
1343.750000	-45.164639
1359.375000	-47.330849
1375.000000	-49.033531
1390.625000	-50.248257
1406.250000	-50.957287
1421.875000	-51.227676
1437.500000	-51.001587
1453.125000	-50.407536
1468.750000	-49.620518
1484.375000	-48.527794
1500.000000	-46.942287
1515.625000	-44.666470
1531.250000	-42.520432
1546.875000	-40.898468
1562.500000	-40.980408
1578.125000	-42.712078
1593.750000	-45.202488
1609.375000	-46.923134
1625.000000	-48.340927
1640.625000	-48.933235
1656.250000	-49.491913
1671.875000	-50.063675
1687.500000	-49.825333
1703.125000	-49.181278
1718.750000	-48.579361
1734.375000	-47.748737
1750.000000	-46.584667
1765.625000	-44.978024
1781.250000	-43.285992
1796.875000	-42.917740
1812.500000	-43.056343
1828.125000	-43.898209
1843.750000	-44.989925
1859.375000	-46.341465
1875.000000	-47.165352
1890.625000	-47.879875
1906.250000	-48.459518
1921.875000	-48.844208
1937.500000	-49.192257
1953.125000	-49.352791
1968.750000	-49.234264
1984.375000	-48.807571
2000.000000	-48.280079
2015.625000	-47.691311
2031.250000	-46.933796
2046.875000	-46.019135
2062.500000	-45.783073
2078.125000	-45.312294
2093.750000	-45.318306
2109.375000	-45.730354
2125.000000	-46.386665
2140.625000	-47.123798
2156.250000	-47.887829
2171.875000	-48.575233
2187.500000	-48.966610
2203.125000	-49.275829
2218.750000	-49.454571
2234.375000	-49.509411
2250.000000	-49.343479
2265.625000	-49.205452
2281.250000	-48.663193
2296.875000	-47.599014
2312.500000	-46.499996
2328.125000	-45.677883
2343.750000	-45.221954
2359.375000	-44.662376
2375.000000	-44.754780
2390.625000	-45.533798
2406.250000	-46.569546
2421.875000	-47.570004
2437.500000	-48.517490
2453.125000	-49.474304
2468.750000	-49.906475
2484.375000	-49.847309
2500.000000	-49.867138
2515.625000	-49.864605
2531.250000	-49.632248
2546.875000	-48.890430
2562.500000	-47.830864
2578.125000	-46.569675
2593.750000	-44.897587
2609.375000	-43.768856
2625.000000	-43.157536
2640.625000	-43.404259
2656.250000	-44.704617
2671.875000	-46.168644
2687.500000	-47.498344
2703.125000	-48.881065
2718.750000	-49.654198
2734.375000	-50.165562
2750.000000	-50.440044
2765.625000	-50.610065
2781.250000	-50.214481
2796.875000	-49.370754
2812.500000	-48.598263
2828.125000	-47.010769
2843.750000	-44.987923
2859.375000	-43.076244
2875.000000	-41.629387
2890.625000	-41.568630
2906.250000	-43.078209
2921.875000	-45.372681
2937.500000	-47.332893
2953.125000	-48.474957
2968.750000	-49.436741
2984.375000	-50.055946
3000.000000	-50.268688
3015.625000	-50.382381
3031.250000	-50.029613
3046.875000	-49.500122
3062.500000	-48.825600
3078.125000	-47.282032
3093.750000	-45.692169
3109.375000	-43.578358
3125.000000	-41.215454
3140.625000	-40.487217
3156.250000	-41.874596
3171.875000	-44.142635
3187.500000	-46.182217
3203.125000	-47.539127
3218.750000	-48.800797
3234.375000	-49.785965
3250.000000	-50.213757
3265.625000	-50.159180
3281.250000	-50.017998
3296.875000	-49.360725
3312.500000	-48.605549
3328.125000	-47.360664
3343.750000	-45.690208
3359.375000	-43.461082
3375.000000	-41.260971
3390.625000	-39.927044
3406.250000	-40.479073
3421.875000	-42.612949
3437.500000	-44.509453
3453.125000	-46.517838
3468.750000	-48.021317
3484.375000	-48.864410
3500.000000	-49.398830
3515.625000	-49.672634
3531.250000	-49.569435
3546.875000	-48.875828
3562.500000	-48.266724
3578.125000	-47.605850
3593.750000	-46.316525
3609.375000	-44.253178
3625.000000	-42.112392
3640.625000	-40.453487
3656.250000	-39.818447
3671.875000	-40.929886
3687.500000	-42.969578
3703.125000	-45.027779
3718.750000	-46.785049
3734.375000	-47.767738
3750.000000	-48.465698
3765.625000	-48.924961
3781.250000	-48.947102
3796.875000	-49.015385
3812.500000	-48.544769
3828.125000	-47.657009
3843.750000	-46.860851
3859.375000	-45.754654
3875.000000	-43.631786
3890.625000	-41.350727
3906.250000	-40.105057
3921.875000	-40.562286
3937.500000	-42.102482
3953.125000	-44.309219
3968.750000	-46.372784
3984.375000	-47.743320
4000.000000	-49.011028
4015.625000	-49.706779
4031.250000	-50.173286
4046.875000	-50.388203
4062.500000	-50.086376
4078.125000	-49.936966
4093.750000	-49.179829
4109.375000	-48.228580
4125.000000	-46.810165
4140.625000	-44.725185
4156.250000	-42.946869
4171.875000	-42.189705
4187.500000	-42.986435
4203.125000	-44.955803
4218.750000	-47.334148
4234.375000	-49.131138
4250.000000	-50.747967
4265.625000	-51.809269
4281.250000	-52.483929
4296.875000	-52.985207
4312.500000	-53.072906
4328.125000	-53.048210
4343.750000	-52.801754
4359.375000	-51.851509
4375.000000	-50.583443
4390.625000	-48.898155
4406.250000	-46.638359
4421.875000	-44.978470
4437.500000	-44.796158
4453.125000	-46.289204
